Transaction_ID,Month,Year,Region_ID,App_ID,Bank_ID,Transaction_Count,Transaction_Value,Success_Count,Failure_Count,Avg_Ticket_Size
41,2023-01,2023,R11,A01,B07,50473,13236153.09,50096,377,262.24
42,2023-01,2023,R11,A02,B09,39272,8842929.49,38638,634,225.17
43,2023-01,2023,R11,A03,B11,28203,6745584.37,28026,177,239.18
44,2023-01,2023,R11,A04,B03,10974,1767452.83,10889,85,161.06
45,2023-01,2023,R12,A01,B08,134597,37183494.63,132753,1844,276.26
46,2023-01,2023,R12,A02,B07,122035,35442589.92,120167,1868,290.43
47,2023-01,2023,R12,A03,B03,58975,13098135.47,58260,715,222.1
48,2023-01,2023,R12,A04,B06,25385,5128797.72,25219,166,202.04
49,2023-01,2023,R13,A01,B03,129683,34555881.73,128032,1651,266.46
50,2023-01,2023,R13,A02,B04,81159,20665568.31,80577,582,254.63
51,2023-01,2023,R13,A03,B05,70710,14171175.59,69445,1265,200.41
52,2023-01,2023,R13,A04,B01,29161,6415503.27,28997,164,220.0
53,2023-01,2023,R14,A01,B12,52846,16218423.95,52404,442,306.9
54,2023-01,2023,R14,A02,B08,50712,13454536.22,50416,296,265.31
55,2023-01,2023,R14,A03,B08,32359,7406638.42,32059,300,228.89
56,2023-01,2023,R14,A04,B07,11029,1744678.31,10974,55,158.19
57,2023-01,2023,R15,A01,B10,51301,17686983.26,50513,788,344.77
58,2023-01,2023,R15,A02,B08,58775,16320806.54,57730,1045,277.68
59,2023-01,2023,R15,A03,B05,37807,9677596.81,37362,445,255.97
60,2023-01,2023,R15,A04,B12,13666,2154710.82,13500,166,157.67
61,2023-01,2023,R16,A01,B03,66382,23185785.09,66006,376,349.28
62,2023-01,2023,R16,A02,B10,57754,17145363.9,56904,850,296.87
63,2023-01,2023,R16,A03,B03,29511,6973295.85,29006,505,236.29
64,2023-01,2023,R16,A04,B11,13007,2875721.1,12800,207,221.09
65,2023-01,2023,R17,A01,B11,58359,21248886.84,57685,674,364.11
66,2023-01,2023,R17,A02,B10,64568,18401298.54,64234,334,284.99
67,2023-01,2023,R17,A03,B10,41235,10716396.5,40877,358,259.89
68,2023-01,2023,R17,A04,B12,13974,2653818.3,13858,116,189.91
69,2023-01,2023,R18,A01,B01,83208,29255001.97,82854,354,351.59
70,2023-01,2023,R18,A02,B07,78528,24144442.33,77555,973,307.46
71,2023-01,2023,R18,A03,B06,61732,14294131.84,60937,795,231.55
72,2023-01,2023,R18,A04,B05,15903,2828445.02,15726,177,177.86
73,2023-01,2023,R19,A01,B06,81239,24800132.94,80060,1179,305.27
74,2023-01,2023,R19,A02,B01,65525,20243480.49,64628,897,308.94
75,2023-01,2023,R19,A03,B12,50819,9823853.73,50324,495,193.31
76,2023-01,2023,R19,A04,B07,16314,3467099.08,16024,290,212.52
77,2023-01,2023,R20,A01,B06,86030,27815674.13,84938,1092,323.33
78,2023-01,2023,R20,A02,B03,54837,14323436.06,54225,612,261.2
79,2023-01,2023,R20,A03,B03,37087,10191813.02,36587,500,274.81
80,2023-01,2023,R20,A04,B09,12506,2550101.29,12447,59,203.91
81,2023-02,2023,R01,A01,B02,73436,25810919.64,72574,862,351.48
82,2023-02,2023,R01,A02,B05,77150,24351169.81,76434,716,315.63
83,2023-02,2023,R01,A03,B07,44368,9923009.24,43680,688,223.65
84,2023-02,2023,R01,A04,B01,13820,2133691.77,13741,79,154.39
85,2023-02,2023,R02,A01,B06,151066,46824340.48,149620,1446,309.96
86,2023-02,2023,R02,A02,B05,98818,24824313.72,97773,1045,251.21
87,2023-02,2023,R02,A03,B04,88913,21270955.94,88466,447,239.23
88,2023-02,2023,R02,A04,B05,28693,6141995.76,28285,408,214.06
89,2023-02,2023,R03,A01,B09,98420,31072665.27,97722,698,315.71
90,2023-02,2023,R03,A02,B11,82484,26299329.72,81569,915,318.84
91,2023-02,2023,R03,A03,B06,57631,15079810.07,57059,572,261.66
92,2023-02,2023,R03,A04,B08,25703,4874320.0,25467,236,189.64
93,2023-02,2023,R04,A01,B03,95585,33746798.21,94471,1114,353.06
94,2023-02,2023,R04,A02,B04,77960,19937583.67,76848,1112,255.74
95,2023-02,2023,R04,A03,B12,55626,12766583.83,55194,432,229.51
96,2023-02,2023,R04,A04,B03,18672,3771147.54,18491,181,201.97
97,2023-02,2023,R05,A01,B06,56071,14390592.24,55652,419,256.65
98,2023-02,2023,R05,A02,B10,61931,16613109.91,61137,794,268.25
99,2023-02,2023,R05,A03,B11,41413,8798129.53,41068,345,212.45
100,2023-02,2023,R05,A04,B09,13054,2630413.24,12969,85,201.5
101,2023-02,2023,R06,A01,B08,61191,20717533.36,60345,846,338.57
102,2023-02,2023,R06,A02,B04,48124,14746367.33,47363,761,306.42
103,2023-02,2023,R06,A03,B10,34470,7854092.56,33983,487,227.85
104,2023-02,2023,R06,A04,B07,15619,3125323.74,15362,257,200.1
105,2023-02,2023,R07,A01,B03,51139,17303234.28,50778,361,338.36
106,2023-02,2023,R07,A02,B09,55609,16954804.04,54719,890,304.89
107,2023-02,2023,R07,A03,B06,28522,7665694.73,28271,251,268.76
108,2023-02,2023,R07,A04,B03,11458,1893095.88,11409,49,165.22
109,2023-02,2023,R08,A01,B07,141285,48530144.34,140153,1132,343.49
110,2023-02,2023,R08,A02,B07,122811,37337306.33,121759,1052,304.02
111,2023-02,2023,R08,A03,B03,65918,14754916.38,65231,687,223.84
112,2023-02,2023,R08,A04,B03,30364,5912193.92,30034,330,194.71
113,2023-02,2023,R09,A01,B01,107365,38639440.91,106560,805,359.89
114,2023-02,2023,R09,A02,B02,68623,18809591.67,67758,865,274.1
115,2023-02,2023,R09,A03,B02,68218,12871759.9,67155,1063,188.69
116,2023-02,2023,R09,A04,B12,20609,4391554.68,20257,352,213.09
117,2023-02,2023,R10,A01,B08,101673,28252199.83,101003,670,277.87
118,2023-02,2023,R10,A02,B08,74564,17288652.86,73664,900,231.86
119,2023-02,2023,R10,A03,B07,71613,15676462.53,70519,1094,218.91
120,2023-02,2023,R10,A04,B11,24771,3997489.75,24459,312,161.38
121,2023-02,2023,R11,A01,B03,53021,18174451.59,52098,923,342.78
122,2023-02,2023,R11,A02,B01,44982,11213466.29,44798,184,249.29
123,2023-02,2023,R11,A03,B12,26117,6947667.56,25982,135,266.02
124,2023-02,2023,R11,A04,B04,10418,1913585.84,10255,163,183.68
125,2023-02,2023,R12,A01,B06,140278,42368061.59,138348,1930,302.03
126,2023-02,2023,R12,A02,B10,109508,29069839.41,108564,944,265.46
127,2023-02,2023,R12,A03,B08,81818,17286604.98,80610,1208,211.28
128,2023-02,2023,R12,A04,B06,32903,6219326.85,32739,164,189.02
129,2023-02,2023,R13,A01,B01,128069,34725800.75,127387,682,271.15
130,2023-02,2023,R13,A02,B02,93164,30155599.33,92212,952,323.68
131,2023-02,2023,R13,A03,B08,59781,13696258.37,59052,729,229.11
132,2023-02,2023,R13,A04,B10,24102,4235581.04,23986,116,175.74
133,2023-02,2023,R14,A01,B11,65697,20237567.36,64838,859,308.04
134,2023-02,2023,R14,A02,B11,54827,12980310.58,54276,551,236.75
135,2023-02,2023,R14,A03,B10,32069,6369923.51,31743,326,198.63
136,2023-02,2023,R14,A04,B01,14624,2873818.85,14409,215,196.51
137,2023-02,2023,R15,A01,B01,57318,14929632.01,56330,988,260.47
138,2023-02,2023,R15,A02,B02,46475,12171212.34,46135,340,261.89
139,2023-02,2023,R15,A03,B05,40610,9554549.45,40219,391,235.28
140,2023-02,2023,R15,A04,B01,15367,3120063.81,15183,184,203.04
141,2023-02,2023,R16,A01,B01,75235,24574265.87,74081,1154,326.63
142,2023-02,2023,R16,A02,B02,47952,13413010.03,47315,637,279.72
143,2023-02,2023,R16,A03,B02,42477,11552734.31,42073,404,271.98
144,2023-02,2023,R16,A04,B03,13581,2387809.64,13373,208,175.82
145,2023-02,2023,R17,A01,B03,86297,29689389.25,85133,1164,344.04
146,2023-02,2023,R17,A02,B06,61829,19846325.53,60994,835,320.99
147,2023-02,2023,R17,A03,B04,48677,11881556.57,48197,480,244.09
148,2023-02,2023,R17,A04,B09,15202,2446966.51,15134,68,160.96
149,2023-02,2023,R18,A01,B12,75299,21311731.65,74926,373,283.03
150,2023-02,2023,R18,A02,B02,71695,22211832.23,71395,300,309.81
151,2023-02,2023,R18,A03,B09,45042,8593689.73,44749,293,190.79
152,2023-02,2023,R18,A04,B02,18738,3187311.28,18584,154,170.1
153,2023-02,2023,R19,A01,B07,102333,32808089.95,100657,1676,320.6
154,2023-02,2023,R19,A02,B08,80773,21494035.39,79490,1283,266.1
155,2023-02,2023,R19,A03,B09,59192,15746259.33,58520,672,266.02
156,2023-02,2023,R19,A04,B07,17428,3093126.94,17146,282,177.48
157,2023-02,2023,R20,A01,B10,76717,23058712.74,75747,970,300.57
158,2023-02,2023,R20,A02,B03,62850,14129820.48,62181,669,224.82
159,2023-02,2023,R20,A03,B07,35352,7427170.16,35002,350,210.09
160,2023-02,2023,R20,A04,B05,15925,3413483.71,15737,188,214.35
161,2023-03,2023,R01,A01,B09,73600,20762173.32,72670,930,282.09
162,2023-03,2023,R01,A02,B06,82946,24376508.52,81725,1221,293.88
163,2023-03,2023,R01,A03,B11,42919,9817256.12,42646,273,228.74
164,2023-03,2023,R01,A04,B04,17371,3866833.97,17132,239,222.6
165,2023-03,2023,R02,A01,B09,157176,56887780.21,155534,1642,361.94
166,2023-03,2023,R02,A02,B08,131738,42251363.73,130948,790,320.72
167,2023-03,2023,R02,A03,B05,84637,18848387.61,84098,539,222.7
168,2023-03,2023,R02,A04,B01,25454,5666613.59,25149,305,222.62
169,2023-03,2023,R03,A01,B09,94018,27535614.44,92996,1022,292.88
170,2023-03,2023,R03,A02,B04,98006,24092833.03,97321,685,245.83
171,2023-03,2023,R03,A03,B11,65219,17862729.23,64753,466,273.89
172,2023-03,2023,R03,A04,B09,27830,5812661.81,27404,426,208.86
173,2023-03,2023,R04,A01,B11,118901,31393840.76,118238,663,264.03
174,2023-03,2023,R04,A02,B07,91741,29648690.18,90203,1538,323.18
175,2023-03,2023,R04,A03,B07,69042,15701443.58,68691,351,227.42
176,2023-03,2023,R04,A04,B11,17250,3657063.64,17102,148,212.0
177,2023-03,2023,R05,A01,B06,74141,21701029.75,72850,1291,292.7
178,2023-03,2023,R05,A02,B11,50280,12431305.91,49435,845,247.24
179,2023-03,2023,R05,A03,B04,42493,9955271.06,41920,573,234.28
180,2023-03,2023,R05,A04,B11,15866,2504360.71,15743,123,157.84
181,2023-03,2023,R06,A01,B05,55409,14795233.59,54977,432,267.02
182,2023-03,2023,R06,A02,B09,65751,17485492.03,64755,996,265.93
183,2023-03,2023,R06,A03,B09,37064,8309616.2,36543,521,224.2
184,2023-03,2023,R06,A04,B12,13563,2315189.7,13335,228,170.7
185,2023-03,2023,R07,A01,B06,49442,16865030.39,48707,735,341.11
186,2023-03,2023,R07,A02,B12,53152,16982271.58,52637,515,319.5
187,2023-03,2023,R07,A03,B02,26467,6111473.24,26334,133,230.91
188,2023-03,2023,R07,A04,B12,11679,1870334.76,11617,62,160.15
189,2023-03,2023,R08,A01,B03,127878,38657885.05,125848,2030,302.3
190,2023-03,2023,R08,A02,B07,103949,27921483.07,102428,1521,268.61
191,2023-03,2023,R08,A03,B11,85595,21296985.03,84463,1132,248.81
192,2023-03,2023,R08,A04,B03,27475,4328118.57,27293,182,157.53
193,2023-03,2023,R09,A01,B03,88087,29256933.5,86769,1318,332.14
194,2023-03,2023,R09,A02,B09,82434,24281078.64,81885,549,294.55
195,2023-03,2023,R09,A03,B05,64797,13109081.79,64232,565,202.31
196,2023-03,2023,R09,A04,B10,24674,5042865.47,24504,170,204.38
197,2023-03,2023,R10,A01,B01,106542,30613004.1,105702,840,287.33
198,2023-03,2023,R10,A02,B08,85482,26221584.29,84640,842,306.75
199,2023-03,2023,R10,A03,B10,69438,18558990.5,68957,481,267.27
200,2023-03,2023,R10,A04,B12,25707,5549678.59,25583,124,215.88
201,2023-03,2023,R11,A01,B02,61670,19885946.04,60946,724,322.46
202,2023-03,2023,R11,A02,B01,45338,13633160.77,44739,599,300.7
203,2023-03,2023,R11,A03,B12,29532,5730554.05,29218,314,194.05
204,2023-03,2023,R11,A04,B09,13095,2841033.56,12958,137,216.96
205,2023-03,2023,R12,A01,B11,116500,37537921.44,115404,1096,322.21
206,2023-03,2023,R12,A02,B07,125067,30917539.8,122955,2112,247.21
207,2023-03,2023,R12,A03,B05,88004,21822642.44,86967,1037,247.97
208,2023-03,2023,R12,A04,B04,25482,4486892.63,25332,150,176.08
209,2023-03,2023,R13,A01,B07,132907,35051344.0,130905,2002,263.73
210,2023-03,2023,R13,A02,B05,86847,21823299.01,85561,1286,251.28
211,2023-03,2023,R13,A03,B01,85501,20186219.07,84795,706,236.09
212,2023-03,2023,R13,A04,B02,24479,4302120.1,24131,348,175.75
213,2023-03,2023,R14,A01,B02,77080,27013867.41,76257,823,350.47
214,2023-03,2023,R14,A02,B03,49660,11974857.27,49172,488,241.14
215,2023-03,2023,R14,A03,B05,42390,9548418.59,42106,284,225.25
216,2023-03,2023,R14,A04,B01,12061,1890790.87,11974,87,156.77
217,2023-03,2023,R15,A01,B11,79440,27562223.45,78568,872,346.96
218,2023-03,2023,R15,A02,B02,51869,13416792.75,51182,687,258.67
219,2023-03,2023,R15,A03,B11,45753,12226060.2,45349,404,267.22
220,2023-03,2023,R15,A04,B05,14775,3307696.72,14637,138,223.87
221,2023-03,2023,R16,A01,B04,66918,19047261.78,65808,1110,284.64
222,2023-03,2023,R16,A02,B09,60318,13868471.73,60000,318,229.92
223,2023-03,2023,R16,A03,B06,45181,11945527.35,44741,440,264.39
224,2023-03,2023,R16,A04,B09,15566,3379314.6,15445,121,217.1
225,2023-03,2023,R17,A01,B08,69572,24179538.34,69072,500,347.55
226,2023-03,2023,R17,A02,B06,64218,17592379.31,63829,389,273.95
227,2023-03,2023,R17,A03,B01,40758,10716249.4,40502,256,262.92
228,2023-03,2023,R17,A04,B06,16119,2575946.07,15883,236,159.81
229,2023-03,2023,R18,A01,B04,108197,32297884.9,107664,533,298.51
230,2023-03,2023,R18,A02,B01,81856,22097979.98,80719,1137,269.96
231,2023-03,2023,R18,A03,B08,56678,11043796.2,56109,569,194.85
232,2023-03,2023,R18,A04,B08,18547,3563346.48,18394,153,192.13
233,2023-03,2023,R19,A01,B01,90774,24413925.25,89729,1045,268.95
234,2023-03,2023,R19,A02,B03,85996,20241526.83,85123,873,235.38
235,2023-03,2023,R19,A03,B06,54129,14863961.85,53895,234,274.6
236,2023-03,2023,R19,A04,B03,16161,3623677.62,16059,102,224.22
237,2023-03,2023,R20,A01,B09,72773,25074494.41,72473,300,344.56
238,2023-03,2023,R20,A02,B12,60162,17205051.84,59638,524,285.98
239,2023-03,2023,R20,A03,B06,46918,11347196.66,46693,225,241.85
240,2023-03,2023,R20,A04,B10,17171,3050394.73,16917,254,177.65
241,2023-04,2023,R01,A01,B07,79759,23739050.6,79385,374,297.63
242,2023-04,2023,R01,A02,B08,83029,19028972.47,81995,1034,229.18
243,2023-04,2023,R01,A03,B01,44771,11205017.62,44276,495,250.27
244,2023-04,2023,R01,A04,B08,15867,2568228.7,15584,283,161.86
245,2023-04,2023,R02,A01,B02,137696,41944389.87,136748,948,304.62
246,2023-04,2023,R02,A02,B06,96848,23399018.87,96448,400,241.61
247,2023-04,2023,R02,A03,B01,67233,15184908.74,66502,731,225.85
248,2023-04,2023,R02,A04,B02,33295,7164131.24,32802,493,215.17
249,2023-04,2023,R03,A01,B06,134253,47631470.31,133433,820,354.79
250,2023-04,2023,R03,A02,B01,95524,25613731.27,94082,1442,268.14
251,2023-04,2023,R03,A03,B01,72114,17405432.83,71365,749,241.36
252,2023-04,2023,R03,A04,B09,26237,4346117.21,25779,458,165.65
253,2023-04,2023,R04,A01,B04,98901,26903181.33,98209,692,272.02
254,2023-04,2023,R04,A02,B11,104679,26187354.42,103189,1490,250.17
255,2023-04,2023,R04,A03,B03,63822,12059412.46,63295,527,188.95
256,2023-04,2023,R04,A04,B02,23086,4746413.61,22981,105,205.6
257,2023-04,2023,R05,A01,B09,57424,18486922.64,56889,535,321.94
258,2023-04,2023,R05,A02,B05,44827,13027571.4,44512,315,290.62
259,2023-04,2023,R05,A03,B02,38562,8644645.2,38193,369,224.18
260,2023-04,2023,R05,A04,B08,11208,1987378.53,11098,110,177.32
261,2023-04,2023,R06,A01,B08,77412,27032937.95,76212,1200,349.21
262,2023-04,2023,R06,A02,B08,54466,12677635.4,54129,337,232.76
263,2023-04,2023,R06,A03,B02,39442,10696731.09,39009,433,271.2
264,2023-04,2023,R06,A04,B12,11357,1755720.43,11210,147,154.59
265,2023-04,2023,R07,A01,B12,68451,21727831.99,67895,556,317.42
266,2023-04,2023,R07,A02,B08,57820,14679047.2,57245,575,253.87
267,2023-04,2023,R07,A03,B12,38778,8356767.91,38549,229,215.5
268,2023-04,2023,R07,A04,B01,12970,2490582.42,12751,219,192.03
269,2023-04,2023,R08,A01,B10,123235,39452571.81,121828,1407,320.14
270,2023-04,2023,R08,A02,B03,86953,27014804.23,86260,693,310.68
271,2023-04,2023,R08,A03,B08,74739,19766756.03,73986,753,264.48
272,2023-04,2023,R08,A04,B06,24380,4764873.47,24122,258,195.44
273,2023-04,2023,R09,A01,B08,120093,33718432.38,119014,1079,280.77
274,2023-04,2023,R09,A02,B03,78421,21342675.08,78086,335,272.16
275,2023-04,2023,R09,A03,B08,60607,14897194.43,59604,1003,245.8
276,2023-04,2023,R09,A04,B03,22710,4034275.32,22592,118,177.64
277,2023-04,2023,R10,A01,B04,132981,44918126.51,131552,1429,337.78
278,2023-04,2023,R10,A02,B12,99109,25197850.21,97588,1521,254.24
279,2023-04,2023,R10,A03,B10,75506,17328227.61,74661,845,229.49
280,2023-04,2023,R10,A04,B05,22276,4901124.36,22110,166,220.02
281,2023-04,2023,R11,A01,B07,50472,14886121.0,49737,735,294.94
282,2023-04,2023,R11,A02,B03,41535,9405050.11,41221,314,226.44
283,2023-04,2023,R11,A03,B08,26720,5067228.36,26465,255,189.64
284,2023-04,2023,R11,A04,B09,11028,2275475.07,10863,165,206.34
285,2023-04,2023,R12,A01,B05,116528,41058368.94,115699,829,352.35
286,2023-04,2023,R12,A02,B05,127877,32555145.47,126504,1373,254.58
287,2023-04,2023,R12,A03,B04,94001,19002593.13,93268,733,202.15
288,2023-04,2023,R12,A04,B03,31556,5834435.31,31165,391,184.89
289,2023-04,2023,R13,A01,B05,145999,43662586.17,145376,623,299.06
290,2023-04,2023,R13,A02,B07,117230,29323202.77,116521,709,250.13
291,2023-04,2023,R13,A03,B08,85602,22044627.6,84129,1473,257.52
292,2023-04,2023,R13,A04,B08,23232,3902459.52,23029,203,167.98
293,2023-04,2023,R14,A01,B01,71575,19917839.09,71003,572,278.28
294,2023-04,2023,R14,A02,B10,47838,10684485.67,47187,651,223.35
295,2023-04,2023,R14,A03,B10,37650,9786089.98,37066,584,259.92
296,2023-04,2023,R14,A04,B02,15802,2440100.46,15576,226,154.42
297,2023-04,2023,R15,A01,B06,63675,19784630.17,62979,696,310.71
298,2023-04,2023,R15,A02,B11,67513,18155004.36,66401,1112,268.91
299,2023-04,2023,R15,A03,B09,33211,7925479.65,32691,520,238.64
300,2023-04,2023,R15,A04,B12,12469,2617895.15,12330,139,209.95
301,2023-04,2023,R16,A01,B02,73995,19503628.95,73295,700,263.58
302,2023-04,2023,R16,A02,B03,52289,12778815.9,51700,589,244.39
303,2023-04,2023,R16,A03,B04,39821,9025479.8,39503,318,226.65
304,2023-04,2023,R16,A04,B07,14247,2458661.38,14156,91,172.57
305,2023-04,2023,R17,A01,B05,71479,20858666.83,71157,322,291.82
306,2023-04,2023,R17,A02,B08,67371,17641076.62,66445,926,261.85
307,2023-04,2023,R17,A03,B12,38732,9892253.08,38058,674,255.4
308,2023-04,2023,R17,A04,B03,15284,2786124.47,15041,243,182.29
309,2023-04,2023,R18,A01,B04,101281,30350820.09,99854,1427,299.67
310,2023-04,2023,R18,A02,B02,94321,26793447.36,93348,973,284.07
311,2023-04,2023,R18,A03,B09,56908,14010681.19,56372,536,246.2
312,2023-04,2023,R18,A04,B05,19450,4249967.03,19135,315,218.51
313,2023-04,2023,R19,A01,B06,89714,25678422.32,89133,581,286.23
314,2023-04,2023,R19,A02,B12,67517,17799112.28,66751,766,263.62
315,2023-04,2023,R19,A03,B02,53888,12434013.71,53648,240,230.74
316,2023-04,2023,R19,A04,B05,17116,2830335.44,17023,93,165.36
317,2023-04,2023,R20,A01,B06,81711,25928012.38,80403,1308,317.31
318,2023-04,2023,R20,A02,B04,56622,15030534.11,55899,723,265.45
319,2023-04,2023,R20,A03,B04,49858,12084743.33,48977,881,242.38
320,2023-04,2023,R20,A04,B08,18408,3100063.89,18212,196,168.41
321,2023-05,2023,R01,A01,B12,99973,31254399.59,98700,1273,312.63
322,2023-05,2023,R01,A02,B11,64321,15791542.61,63246,1075,245.51
323,2023-05,2023,R01,A03,B12,42488,9504577.84,42110,378,223.7
324,2023-05,2023,R01,A04,B08,14176,2542752.19,14000,176,179.37
325,2023-05,2023,R02,A01,B07,110336,36711555.42,109118,1218,332.73
326,2023-05,2023,R02,A02,B10,126089,38863194.96,125402,687,308.22
327,2023-05,2023,R02,A03,B04,69870,16287493.43,69096,774,233.11
328,2023-05,2023,R02,A04,B10,25184,4155140.46,24897,287,164.99
329,2023-05,2023,R03,A01,B08,132404,45905721.26,130795,1609,346.71
330,2023-05,2023,R03,A02,B08,100069,27421763.43,99522,547,274.03
331,2023-05,2023,R03,A03,B04,64111,15939056.72,63363,748,248.62
332,2023-05,2023,R03,A04,B11,25623,5126122.33,25220,403,200.06
333,2023-05,2023,R04,A01,B08,118071,43349409.74,116884,1187,367.15
334,2023-05,2023,R04,A02,B03,85260,20999827.93,84053,1207,246.3
335,2023-05,2023,R04,A03,B10,48132,9979487.94,47596,536,207.34
336,2023-05,2023,R04,A04,B02,21452,4288173.27,21320,132,199.9
337,2023-05,2023,R05,A01,B10,77428,26310950.67,76335,1093,339.81
338,2023-05,2023,R05,A02,B09,58457,17984517.22,57646,811,307.65
339,2023-05,2023,R05,A03,B04,43327,11363271.46,42797,530,262.27
340,2023-05,2023,R05,A04,B04,13509,2973542.23,13384,125,220.12
341,2023-05,2023,R06,A01,B01,74139,24700029.7,73632,507,333.16
342,2023-05,2023,R06,A02,B11,44736,11375521.21,44344,392,254.28
343,2023-05,2023,R06,A03,B03,34123,7726652.61,33539,584,226.44
344,2023-05,2023,R06,A04,B06,11542,2494666.68,11387,155,216.14
345,2023-05,2023,R07,A01,B03,64288,18357774.24,63199,1089,285.56
346,2023-05,2023,R07,A02,B10,48149,15205746.76,47708,441,315.81
347,2023-05,2023,R07,A03,B05,36268,7938039.93,35750,518,218.87
348,2023-05,2023,R07,A04,B05,11199,1844257.25,11106,93,164.68
349,2023-05,2023,R08,A01,B05,118222,33108012.69,116945,1277,280.05
350,2023-05,2023,R08,A02,B11,120982,38578570.16,120113,869,318.88
351,2023-05,2023,R08,A03,B05,66560,16017865.95,66191,369,240.65
352,2023-05,2023,R08,A04,B08,24193,4465059.11,23850,343,184.56
353,2023-05,2023,R09,A01,B10,107397,36803322.27,106904,493,342.68
354,2023-05,2023,R09,A02,B09,77980,18163300.77,76754,1226,232.92
355,2023-05,2023,R09,A03,B05,67041,17976652.2,66068,973,268.14
356,2023-05,2023,R09,A04,B04,17857,2950424.08,17622,235,165.23
357,2023-05,2023,R10,A01,B08,124886,35744111.36,122740,2146,286.21
358,2023-05,2023,R10,A02,B09,77269,22073877.54,76933,336,285.68
359,2023-05,2023,R10,A03,B06,60928,13479882.83,60209,719,221.24
360,2023-05,2023,R10,A04,B08,19502,3519591.39,19222,280,180.47
361,2023-05,2023,R11,A01,B03,60511,18925005.14,59887,624,312.75
362,2023-05,2023,R11,A02,B11,50047,15835485.81,49370,677,316.41
363,2023-05,2023,R11,A03,B10,29720,5994666.89,29587,133,201.7
364,2023-05,2023,R11,A04,B10,11192,2374057.12,11079,113,212.12
365,2023-05,2023,R12,A01,B07,110386,36319873.82,109119,1267,329.03
366,2023-05,2023,R12,A02,B07,98424,31954366.56,97513,911,324.66
367,2023-05,2023,R12,A03,B06,77221,18819287.61,76140,1081,243.71
368,2023-05,2023,R12,A04,B10,25462,3936310.28,25357,105,154.6
369,2023-05,2023,R13,A01,B02,110290,33352706.15,109575,715,302.41
370,2023-05,2023,R13,A02,B09,98294,22153859.84,97276,1018,225.38
371,2023-05,2023,R13,A03,B02,84122,16694609.22,83690,432,198.46
372,2023-05,2023,R13,A04,B08,22168,3863850.53,22059,109,174.3
